bank_id,bank_name,status,branch_code,add_date,bank_abr
1,APNA MICROFINANCE BANK,0,0,30-01-15,AMB
2,AL BARKA,0,0,30-01-15,ABB
3,ALLIED BANK LIMITED,1,0,30-01-15,ABL
4,ASKARI BANK,0,0,30-01-15,ASKARI
5,BANK AL HABIB LIMITED,1,0,30-01-15,BAH
6,BANK ALFALAH,1,0,30-01-15,BAF
7,BANK ISLAMI,1,0,30-01-15,BI
9,BURJ BANK LIMITED,1,0,30-01-15,BBL
10,CITI BANK,0,0,30-01-15,CB
11,DUBAI ISLAMIC BANK,0,0,30-01-15,DIB
12,FAYSAL BANK,1,0,30-01-15,FB
13,FIRST WOMEN BANK,0,0,30-01-15,FWB
14,HABIB BANK LIMITED,1,0,30-01-15,HBL
15,HABIB METRO BANK,0,0,30-01-15,HMB
16,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,0,0,30-01-15,ICBC
17,JS BANK,1,0,30-01-15,JS B
18,KASB BANK,1,0,30-01-15,KB
19,MEEZAN BANK LIMITED,1,0,30-01-15,MBL
20,NIB BANK,1,0,30-01-15,NIB
21,SAMBA BANK LIMITED,0,0,30-01-15,SAMBA
22,SILK BANK,0,0,30-01-15,SILK
23,SINDH BANK,0,0,30-01-15,SINDH
24,SONERI BANK,0,0,30-01-15,SONERI
25,STANDARD CHARTERED BANK,0,0,30-01-15,SCB
26,SUMMIT BANK,1,0,30-01-15,SUMMIT
27,TAMEER MICROFINANCE BANK,0,0,30-01-15,TMB
28,U MICROFINANCE BANK LIMITED,0,0,30-01-15,UMBL
29,UNITED BANK LIMITED,1,0,30-01-15,UBL
30,THE BANK OF KHYBER,1,0,30-01-15,BoK
31,HABIB METROPOLITAN BANK,1,0,30-01-15,HMPB
32,MUSLIM COMMERCIAL BANK,1,0,26-03-15,MCB
33,THE BANK OF PUNJAB,1,0,28-03-15,BoP
34,MOBIT ONLINE,1,0,30-03-15,MOBIT
